Adress,Hemsida,Kategori,Namn,NormalizedAdress,lat,lon,geocode_status,geocode_display_name,OSMWebsite,WebsiteFinal,OSMEmail,EmailFinal
LÜTZENGATAN 12,,Galleri,Galleri Futura AB,"LÜTZENGATAN 12, Stockholm",59.3381871,18.0929896,ok,"12, Lützengatan, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 20, Sverige",,,,
RAGVALDSGATAN 16,,Galleri,Galleri Gösta Bergman AB,"RAGVALDSGATAN 16, Stockholm",59.3178009,18.0685305,ok,"16, Ragvaldsgatan, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 118 46, Sverige",,,,
SOLLERÖVÄGEN 33,,Galleri,FLACH ART PROJECTS AB,"SOLLERÖVÄGEN 33, Stockholm",59.3230937,17.9342481,ok,"Sollerövägen, Höglandet, Bromma stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 167 71, Sverige",,,,
DROTTNINGGATAN 7,,Galleri,NORDIC DESIGNS & BRANDS AB,"DROTTNINGGATAN 7, Stockholm",59.3292389,18.0659346,ok,"7, Drottninggatan, Klara, Norrmalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 52, Sverige",,,,
STORGATAN 60,,Galleri,YODOI AB,"STORGATAN 60, Stockholm",59.3323894,18.0958884,ok,"60, Storgatan, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 23, Sverige",,,,
BARNHUSGATAN 8,,Galleri,FRAMELAND AKTIEBOLAG,"BARNHUSGATAN 8, Stockholm",59.3363409,18.0571061,ok,"8, Barnhusgatan, Klara, Norrmalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 23, Sverige",,,,
ÖSTERLÅNGGATAN 22,,Galleri,ORIGINAL GLOBAL ART AB,"ÖSTERLÅNGGATAN 22, Stockholm",59.324137,18.0737493,ok,"22, Österlånggatan, Gamla stan, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 31, Sverige",,,,
ULRIKAGATAN 13,,Galleri,Galleri Niklas Belenius AB,"ULRIKAGATAN 13, Stockholm",59.3332072,18.0965737,ok,"13, Ulrikagatan, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 23, Sverige",,,,
KOCKSGATAN 52,,Galleri,AB Kocksgatan 52,"KOCKSGATAN 52, Stockholm",59.3146798,18.0833869,ok,"52, Kocksgatan, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 116 31, Sverige",,,,
VÄRTAVÄGEN 16,,Galleri,Prospektiv AB,"VÄRTAVÄGEN 16, Stockholm",59.33936,18.0937638,ok,"16, Värtavägen, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 24, Sverige",,,,
FOLKUNGAGATAN 84,,Galleri,Zukkerschnut solutions Aktiebolag,"FOLKUNGAGATAN 84, Stockholm",59.314863,18.0794875,ok,"84, Folkungagatan, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 116 22, Sverige",,,,
BRUNNSGATAN 21,,Galleri,Stene Projects AB,"BRUNNSGATAN 21, Stockholm",59.3365177,18.0666644,ok,"21, Brunnsgatan, Klara, Norrmalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 39, Sverige",,,,
HAMMARBY SLUSSVÄG 2,,Galleri,Huset under bron AB,"HAMMARBY SLUSSVÄG 2, Stockholm",59.3038016,18.0778812,ok,"Hammarby Slussväg, Skanstull, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 116 67, Sverige",,,,
ODENGATAN 4,,Galleri,Erik Möller Arkitekter AB,"ODENGATAN 4, Stockholm",59.3466363,18.0655693,ok,"4, Odengatan, Lärkstaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 24, Sverige",,,,
NYBOHOVSBACKEN 45,,Galleri,Nordic Freedom AB,"NYBOHOVSBACKEN 45, Stockholm",59.3085949,18.0166195,ok,"45, Nybohovsbacken, Nybohov, Liljeholmen, Hägersten-Älvsjö stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 117 64, Sverige",,,,
HAGAGATAN 14,,Galleri,ed. art svensk upplagekonst AB,"HAGAGATAN 14, Stockholm",59.3451334,18.0520188,ok,"14, Hagagatan, Sibirien, Vasastaden, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 49, Sverige",,,,
STAMGATAN 5,,Galleri,E&W Cultural Exchange AB,"STAMGATAN 5, Stockholm",59.2832484,18.0421799,ok,"Booran Thai Spa Massage, 5, Stamgatan, Östberga, Älvsjö, Enskede-Årsta-Vantörs stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 125 74, Sverige",,,,
RÖDBODTORGET 2,,Galleri,Galleri Riis AB,"RÖDBODTORGET 2, Stockholm",,,not_found,,,,,
BECKOMBERGAVÄGEN 1,,Galleri,Manomino AB,"BECKOMBERGAVÄGEN 1, Stockholm",59.3427524,17.9237225,ok,"Beckombergavägen, Åkeshov, Bromma stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 168 38, Sverige",,,,
BIRGER JARLSGATAN 67,,Galleri,Berg Gallery AB,"BIRGER JARLSGATAN 67, Stockholm",59.3433462,18.0626815,ok,"67, Birger Jarlsgatan, Sibirien, Vasastaden, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 56, Sverige",,,,
ARTILLERIGATAN 40,,Galleri,Paul Frank McCabe Fine Art AB,"ARTILLERIGATAN 40, Stockholm",59.3362274,18.0828319,ok,"40, Artillerigatan, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 45, Sverige",,,,
REGERINGSGATAN 80,,Galleri,Domeij Gallery AB,"REGERINGSGATAN 80, Stockholm",59.3377812,18.0673701,ok,"80, Regeringsgatan, Norrmalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 39, Sverige",,,,
RÖRSTRANDSGATAN 33,,Galleri,Arman Sultani Art AB,"RÖRSTRANDSGATAN 33, Stockholm",59.3405426,18.0289004,ok,"33, Rörstrandsgatan, Rörstrand, Vasastaden, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 38, Sverige",,,,
HEDINSGATAN 11,,Galleri,piqmo AB,"HEDINSGATAN 11, Stockholm",59.342819,18.0939186,ok,"11, Hedinsgatan, Gärdeshöjden, Ladugårdsgärdet, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 24, Sverige",,,,
REGERINGSGATAN 71,,Galleri,T8NG Regeringsgatan AB,"REGERINGSGATAN 71, Stockholm",59.3357719,18.0674827,ok,"71, Regeringsgatan, Klara, Norrmalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 56, Sverige",,,,
HÄLSINGEGATAN 18,,Galleri,Elisabeth Fagerstedt AB,"HÄLSINGEGATAN 18, Stockholm",59.3446596,18.0407522,ok,"18, Hälsingegatan, Röda bergen, Vasastaden, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 31, Sverige",,,,
HÄGERSTENSVÄGEN 145,,Galleri,Barklund & Co AB,HÄGERSTENSVÄGEN 145,59.3054307,17.9994786,ok,"145 A-B, Hägerstensvägen, Aspudden, Hägersten-Älvsjö stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 126 36, Sverige",,,,
HÄSTHOLMSVÄGEN 17,,Galleri,Konstpunkt Stockholm AB,"HÄSTHOLMSVÄGEN 17, Stockholm",59.3127292,18.1047587,ok,"17, Hästholmsvägen, Danviksklippan, Södra Hammarbyhamnen, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 116 44, Sverige",,,,
TANTOGATAN 75,,Galleri,Lilla Tanto Förvaltning AB,"TANTOGATAN 75, Stockholm",59.3103301,18.0446892,ok,"75, Tantogatan, Zinkensdamm, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 118 42, Sverige",,,,
ÖSTERMALMSGATAN 61,,Galleri,Erik Nordenhake AB,ÖSTERMALMSGATAN 61,59.3415835,18.0795329,ok,"61, Östermalmsgatan, Villastaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 43, Sverige",,,,
KARLAVÄGEN 9,,Galleri,Globart Projects Sweden AB,"KARLAVÄGEN 9, Stockholm",59.3443603,18.0653945,ok,"9, Karlavägen, Lärkstaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 24, Sverige",,,,
NYBROGATAN 34,,Galleri,Forsberg & Bromberg Galleri Glas AB,"NYBROGATAN 34, Stockholm",59.3371277,18.0794237,ok,"34, Nybrogatan, Villastaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 102 44, Sverige",,,,
ÖSTERMALMSGATAN 26,,Galleri,Non Violence Art Project AB,ÖSTERMALMSGATAN 26,59.3435785,18.0697728,ok,"26A, Östermalmsgatan, Lärkstaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 100 41, Sverige",,,,
HORNSGATAN 73,,Galleri,Tuesday Company AB,"HORNSGATAN 73, Stockholm",59.3174949,18.0523595,ok,"73, Hornsgatan, Zinkensdamm, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 118 23, Sverige",,,,
GREV TUREGATAN 65,,Galleri,Above Gallery AB,"GREV TUREGATAN 65, Stockholm",59.3411806,18.0799684,ok,"65, Grev Turegatan, Villastaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 49, Sverige",,,,
SMÅLANDSGATAN 7,,Galleri,SVENSKA KONSTNÄRERNAS FÖRENING U P A,"SMÅLANDSGATAN 7, Stockholm",59.3336656,18.0744036,ok,"7, Smålandsgatan, Klara, Norrmalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 46, Sverige",,,,
SÖDERMALMSTORG 4,,Galleri,Konsthantverkarna Stockholm ek. för.,SÖDERMALMSTORG 4,59.320341,18.0701354,ok,"4, Södermalmstorg, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 118 46, Sverige",,,,
GÖTGATAN 63,,Galleri,GALLERI HANTVERKET STOCKHOLM EK. FÖR.,"GÖTGATAN 63, Stockholm",59.3077531,18.0765056,ok,"Götgatan, Skanstull, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 116 63, Sverige",,,,
HORNSGATAN 6,,Galleri,GRAFISKA SÄLLSKAPET,"HORNSGATAN 6, Stockholm",59.3198907,18.0697014,ok,"6, Hornsgatan, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 118 46, Sverige",,,,
SMÅLANDSGATAN 7,,Galleri,Cecilia Hillström Gallery Handelsbolag AB,"SMÅLANDSGATAN 7, Stockholm",59.3336656,18.0744036,ok,"7, Smålandsgatan, Klara, Norrmalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 46, Sverige",,,,
STRANDVÄGEN 15,,Galleri,Christina Knall Galleri AB,"STRANDVÄGEN 15, Stockholm",59.3317849,18.0828239,ok,"15, Strandvägen, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 23, Sverige",,,,
FREDSGATAN 12,,Galleri,,"FREDSGATAN 12, Stockholm",59.3286831,18.0644249,ok,"12, Fredsgatan, Klara, Norrmalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 103 21, Sverige",,,,
ARTILLERIGATAN 74,,Galleri,,"ARTILLERIGATAN 74, Stockholm",59.3428096,18.0888748,ok,"74, Artillerigatan, Gärdeshöjden, Ladugårdsgärdet, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 31, Sverige",,,,
BANÉRGATAN 42,,Galleri,,"BANÉRGATAN 42, Stockholm",59.3377255,18.0957272,ok,"42, Banérgatan, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 27, Sverige",,,,
Nybrogatan 48,,Galleri,Galleri Frendberg AB,"Nybrogatan 48, Stockholm",59.3390292,18.0809052,ok,"48, Nybrogatan, Villastaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 49, Sverige",,,,
STAMGATAN 63,,Galleri,,"STAMGATAN 63, Stockholm",59.2862798,18.038609,ok,"63, Stamgatan, Östberga, Älvsjö, Enskede-Årsta-Vantörs stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 125 74, Sverige",,,,
SANKT PAULSGATAN 14,,Galleri,Seriegalleriet,"SANKT PAULSGATAN 14, Stockholm",59.3181434,18.0670639,ok,"Gyllstad, 14, Sankt Paulsgatan, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 118 47, Sverige",,,,
KOCKSGATAN 56,,Galleri,,"KOCKSGATAN 56, Stockholm",59.3148826,18.0846822,ok,"56, Kocksgatan, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 116 30, Sverige",,,,
ALADDINSVÄGEN 25,,Galleri,Stefan Otto AB,"ALADDINSVÄGEN 25, Stockholm",59.3222299,17.9703649,ok,"25, Aladdinsvägen, Smedslätten, Bromma stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 167 53, Sverige",,,,
GÄVLEGATAN 10,,Galleri,Coulisse Gallery,"GÄVLEGATAN 10, Stockholm",59.3456136,18.0374935,ok,"10, Gävlegatan, Torsplan, Vasastaden, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 30, Sverige",,,,
DALAGATAN 52,,Galleri,,"DALAGATAN 52, Stockholm",59.3420845,18.0454098,ok,"52, Dalagatan, Sabbatsberg, Vasastaden, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 22, Sverige",,,,
DÖBELNSGATAN 24 BV,,Galleri,Charlotte Lund Art AB,"DÖBELNSGATAN 24 BV, Stockholm",59.3382469,18.0637552,ok,"Döbelnsgatan, Norrmalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 40, Sverige",,,,
ULRIKAGATAN 13 4TR,,Galleri,GALERIE BEL'ART AKTIEBOLAG,"ULRIKAGATAN 13 4TR, Stockholm",,,not_found,,,,,
STUREGATAN 38 LGH 1201,,Galleri,CERCON AKTIEBOLAG,"STUREGATAN 38 LGH 1201, Stockholm",59.3402112,18.0763249,ok,"38, Sturegatan, Villastaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 36, Sverige",,,,
KARLAPLAN 7 5 TR,,Galleri,CHRISTIAN LARSEN AB,"KARLAPLAN 7 5 TR, Stockholm",,,not_found,,,,,
ODENGATAN 106 6TR,,Galleri,LUNDGRENS ANTIKHANDEL AKTIEBOLAG,"ODENGATAN 106 6TR, Stockholm",,,not_found,,,,,
SANDELSGATAN 42 BV,,Galleri,SCG fastighetsutveckling AB,"SANDELSGATAN 42 BV, Stockholm",59.3443175,18.091736,ok,"Sandelsgatan, Gärdeshöjden, Ladugårdsgärdet, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 30, Sverige",,,,
DROTTNINGGATAN 110 1TR LGH 1102,,Galleri,ROGER BJÖRKHOLMEN AKTIEBOLAG,"DROTTNINGGATAN 110 1TR LGH 1102, Stockholm",,,not_found,,,,,
RÅDMANSGATAN 7 BV,,Galleri,GALLERI JAN WALLMARK AB,"RÅDMANSGATAN 7 BV, Stockholm",59.3389612,18.053255,ok,"Rådmansgatan, Sabbatsberg, Vasastaden, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 60, Sverige",,,,
VÄRTAVÄGEN 33 3TR,,Galleri,TORNBERG GALLERY AB,"VÄRTAVÄGEN 33 3TR, Stockholm",,,not_found,,,,,
HUDIKSVALLSGATAN 8 1TR,,Galleri,Rammakarna på Östermalm AB,"HUDIKSVALLSGATAN 8 1TR, Stockholm",,,not_found,,,,,
TULLGRÄND 4 6TR,,Galleri,Hammarling Consulting AB,"TULLGRÄND 4 6TR, Stockholm",,,not_found,,,,,
TEGNÉRLUNDEN 4 7TR.,,Galleri,ART PHOTO FOUNDATION SWEDEN AB,"TEGNÉRLUNDEN 4 7TR., Stockholm",,,not_found,,,,,
LINNÉGATAN 28-30,,Galleri,Bohem Interior AB,"LINNÉGATAN 28-30, Stockholm",59.3371283,18.0803362,ok,"28-30, Linnégatan, Villastaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 45, Sverige",,,,
GÖTGATAN 11 3 TR,,Galleri,Farago Publishing AB,"GÖTGATAN 11 3 TR, Stockholm",,,not_found,,,,,
HÅRDVALLSGATAN 34 4TR,,Galleri,White Gallery AB,"HÅRDVALLSGATAN 34 4TR, Stockholm",,,not_found,,,,,
PETREJUSVÄGEN 51 LGH 1201,,Galleri,Ingela S Gallery AB,"PETREJUSVÄGEN 51 LGH 1201, Stockholm",59.296602,18.1016401,ok,"51, Petrejusvägen, Hammarbyhöjden, Skarpnäcks stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 121 38, Sverige",,,,
RINGVÄGEN 141 BV,,Galleri,Fritz Halvorsen Arkitektur AB,"RINGVÄGEN 141 BV, Stockholm",,,not_found,,,,,
FRIHAMNSGATAN 28 Frihamnen Magasin 3,,Galleri,"STOCKHOLMS KONSTHALL, MAGASIN 3 KOMMANDITBOLAG","FRIHAMNSGATAN 28 Frihamnen Magasin 3, Stockholm",,,not_found,,,,,
ODENGATAN 23 LGH 1402,,Galleri,,"ODENGATAN 23 LGH 1402, Stockholm",59.3457425,18.0631243,ok,"23, Odengatan, Lärkstaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 24, Sverige",,,,
SKÅNEGATAN 66 LGH 1101,,Galleri,,"SKÅNEGATAN 66 LGH 1101, Stockholm",59.3116372,18.0755848,ok,"66, Skånegatan, Skanstull, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 116 23, Sverige",,,,
RUSTHÅLLARVÄGEN 99 BV,,Galleri,,"RUSTHÅLLARVÄGEN 99 BV, Stockholm",59.2790197,18.1271158,ok,"Rusthållarvägen, Bagarmossen, Skarpnäcks stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 128 41, Sverige",,,,
RINGVÄGEN 82 LGH 1104,,Galleri,,"RINGVÄGEN 82 LGH 1104, Stockholm",59.3074339,18.0690469,ok,"82, Ringvägen, Skanstull, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 118 60, Sverige",,,,
BJÖRNGÅRDSGATAN 8 LGH 1002,,Galleri,"By, Caroline","BJÖRNGÅRDSGATAN 8 LGH 1002, Stockholm",59.3166458,18.0654311,ok,"8, Björngårdsgatan, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 118 47, Sverige",,,,
HÖGBERGSGATAN 24 LGH 1104,,Galleri,,"HÖGBERGSGATAN 24 LGH 1104, Stockholm",59.3171346,18.0763543,ok,"24, Högbergsgatan, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 116 25, Sverige",,,,
BRAHEGATAN 3 LGH 1301,,Galleri,,"BRAHEGATAN 3 LGH 1301, Stockholm",59.3371696,18.0753794,ok,"Rosa, 3, Brahegatan, Villastaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 37, Sverige",,,,
HELENEBORGSGATAN 44 LGH 1301,,Galleri,,"HELENEBORGSGATAN 44 LGH 1301, Stockholm",59.3190165,18.0346729,ok,"44, Heleneborgsgatan, Hornstull, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 117 32, Sverige",,,,
STORA GUNGANS VÄG 2 BV,,Galleri,Robin Delselius i Enskede AB,"STORA GUNGANS VÄG 2 BV, Stockholm",59.2847688,18.0918124,ok,"Stora Gungans väg, Gamla Enskede, Enskede-Årsta-Vantörs stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 122 31, Sverige",,,,
"Kyrkhamnsvägen 20, 165 72 Hässelby",,Galleri,Bladverket galleri & Kulturcafé,"Kyrkhamnsvägen 20, 165 72 Hässelby",59.3886743,17.7805271,ok,"Lyckebo Trädgårdscafé, 20, Kyrkhamnsvägen, Lövsta, Hässelby-Vällingby stadsdelsområde, Stockholms kommun, Stockholms län, 165 72, Sverige",,,,
"Ekstigen 1, 167 51 Bromma",,Galleri,Galleraget,"Ekstigen 1, 167 51 Bromma",59.3324475,17.9768943,ok,"Alviks rättarbostad, 1, Ekstigen, Alvik, Bromma stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 167 51, Sverige",,,,
"Vällingby torg 43, 162 65 Vällingby",,Galleri,Galleri 16X,"Vällingby torg 43, 162 65 Vällingby",,,not_found,,,,,
"Husby gård, 164 30 Kista",,Galleri,Husby konst och hantverksförening,"Husby gård, 164 30 Kista",59.407209,17.9197006,ok,"Husby gård, Husby, Järva stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 164 32, Sverige",,,,
"Jämtlandsgatan 161, 162 60 Vällingby",,Galleri,Studio ABC,"Jämtlandsgatan 161, 162 60 Vällingby",59.3575976,17.8776807,ok,"Jämtlandsgatan, Råcksta, Hässelby-Vällingby stadsdelsområde, Stockholms kommun, Stockholms län, 162 60, Sverige",,,,
,,Galleri,Galleri,,,,empty_address,,,,,
,,Galleri,Galleri Bellman,,,,empty_address,,,,,
,,Galleri,Galleri Lorentzon,,,,empty_address,,,,,
,,Galleri,Galleri Kontrast,,,,empty_address,,,,,
,,Galleri,Galleri Movitz,,,,empty_address,,,,,
,,Galleri,Galleri Knall,,,,empty_address,,,,,
,,Galleri,Galleri Puckeln,,,,empty_address,,,,,
,,Galleri,Blås & knåda,,,,empty_address,,,,,
,,Galleri,Galleri Scandinavia,,,,empty_address,,,,,
,,Galleri,Galleri Momangen,,,,empty_address,,,,,
,,Galleri,Galleri Bergman,,,,empty_address,,,,,
,,Galleri,Ryan Photo Galleri,,,,empty_address,,,,,
,,Galleri,Galleri de Bernardo,,,,empty_address,,,,,
,bibliotek.vallentuna.se,Galleri,VK Ramar-Gallery,,,,empty_address,,,,,
,bibliotek.vallentuna.se,Galleri,Beeg Gallery,,,,empty_address,,,,,
,bibliotek.vallentuna.se,Galleri,Galleri Andersson/Sandström,,,,empty_address,,,,,
,,Galleri,Galerie Nordenhake,,,,empty_address,,,,,
,,Galleri,Galleri Hind,,,,empty_address,,,,,
,,Galleri,Kaolin,,,,empty_address,,,,,
,,Galleri,Galleri Greger,,,,empty_address,,,,,
,,Galleri,Abante,,,,empty_address,,,,,
,,Galleri,The Slab,,,,empty_address,,,,,
,,Galleri,Konst och folk,,,,empty_address,,,,,
,,Galleri,Ekvall & Törnblom,,,,empty_address,,,,,
,,Galleri,Rääf,,,,empty_address,,,,,
,,Galleri,Wetterling,,,,empty_address,,,,,
,,Galleri,Vantörs konstförening,,,,empty_address,,,,,
,,Galleri,Honey Gallery,,,,empty_address,,,,,
,,Galleri,Nordic Art,,,,empty_address,,,,,
,,Galleri,spg,,,,empty_address,,,,,
,,Galleri,Galleri,,,,empty_address,,,,,
,,Galleri,Index,,,,empty_address,,,,,
,,Galleri,Galleri Inuti,,,,empty_address,,,,,
,,Galleri,Nordens ljus,,,,empty_address,,,,,
,,Galleri,WBL,,,,empty_address,,,,,
,,Galleri,Flach,,,,empty_address,,,,,
,,Galleri,Anna Bohman,,,,empty_address,,,,,
Spetsgatan 2,,Galleri,Olle Olsson kvarteret,"Spetsgatan 2, Stockholm",59.3610244,18.0160446,ok,"Olle Olsson Hagalund-museet, 2, Spetsgatan, Hagalund, Solna kommun, Stockholms län, 169 67, Sverige",,,,
Björnstigen 137B,,Galleri,Bergagalleriet,"Björnstigen 137B, Stockholm",59.3698924,17.8091841,ok,"Björnstigen, Hässelby Villastad, Hässelby-Vällingby stadsdelsområde, Stockholms kommun, Stockholms län, 165 71, Sverige",,,,
Bergshamra torg 1,,Galleri,Galleri Mun&fot,"Bergshamra torg 1, Stockholm",,,not_found,,,,,
Posthusgatan 2,,Galleri,Galleri Ekman,"Posthusgatan 2, Stockholm",59.7567763,18.7030554,ok,"2, Posthusgatan, Grind, Norrtälje, Norrtälje kommun, Stockholms län, 761 30, Sverige",,,,
Billborgsgatan 3,,Galleri,Lilla K,"Billborgsgatan 3, Stockholm",59.7598544,18.7047857,ok,"Billborgsgatan, Gransäter, Fågelsången, Norrtälje, Norrtälje kommun, Stockholms län, 761 30, Sverige",,,,
,,Galleri,Häveröbygdens Konstförening (Hallstaviks konsthall),,,,empty_address,,,,,
Karby byväg 16,,Galleri,Stella Art Galleri,"Karby byväg 16, Stockholm",59.8072823,18.6202703,ok,"Karby byväg, Karby, Norrtälje kommun, Stockholms län, 761 71, Sverige",,,,
Torsåker Kvarnbacken,,Galleri,The Nut House,"Torsåker Kvarnbacken, Stockholm",,,not_found,,,,,
NYBROGATAN 3,,Galleri,SKAJS KONST- & ANTIKHANDEL AKTIEBOLAG,"NYBROGATAN 3, Stockholm",59.3336578,18.0764611,ok,"3, Nybrogatan, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 102 41, Sverige",,,,
BIRGER JARLSGATAN 14,,Galleri,ÅMELLS KONSTHANDEL AKTIEBOLAG,"BIRGER JARLSGATAN 14, Stockholm",59.3347827,18.0743739,ok,"14, Birger Jarlsgatan, Klara, Norrmalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 35, Sverige",,,,
KARLAVÄGEN 17,,Galleri,BÖRJE G ANDERSSON AKTIEBOLAG,"KARLAVÄGEN 17, Stockholm",59.3426251,18.0690257,ok,"17, Karlavägen, Eriksberg, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 31, Sverige",,,,
SANKT ERIKSGATAN 79,,Galleri,"KONST & RAM, GALLERI S:T ERIK AKTIEBOLAG","SANKT ERIKSGATAN 79, Stockholm",59.3399923,18.0366563,ok,"79, Sankt Eriksgatan, Atlasområdet, Vasastaden, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 32, Sverige",,,,
JAKOBSBERGSGATAN 2,,Galleri,Lars Bohman Fine Art AB,"JAKOBSBERGSGATAN 2, Stockholm",59.3349843,18.0730045,ok,"2, Jakobsbergsgatan, Klara, Norrmalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 34, Sverige",,,,
SIBYLLEGATAN 65,,Galleri,PROJECT MANAGEMENT I STOCKHOLM AKTIEBOLAG,"SIBYLLEGATAN 65, Stockholm",59.3401798,18.083159,ok,"65, Sibyllegatan, Villastaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 43, Sverige",,,,
