Adress,Hemsida,Kategori,Namn,NormalizedAdress,lat,lon,geocode_status,geocode_display_name,OSMWebsite,WebsiteFinal,OSMEmail,EmailFinal
Telefonplan 1,,Bibliotek,Telefonplans bibliotek,"Telefonplan 1, Stockholm",59.298882,17.9964701,ok,"1, Telefonplan, Midsommarkransen, Hägersten-Älvsjö stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 126 37, Sverige",,,,
Hagstråket 13,,Bibliotek,Tensta bibliotek,"Hagstråket 13, Stockholm",59.395534,17.8979108,ok,"Tensta träff, 13, Hagstråket, Tensta, Järva stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 163 64, Sverige",,,,
Medborgarplatsen 2,,Bibliotek,Tranströmerbiblioteket,"Medborgarplatsen 2, Stockholm",59.3145466,18.0718565,ok,"2, Medborgarplatsen, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 118 26, Sverige",,,,
Vittangigatan 24,,Bibliotek,Vällingby bibliotek,"Vittangigatan 24, Stockholm",59.3624519,17.870496,ok,"Vällingby bibliotek, 24, Vittangigatan, Vällingby, Hässelby-Vällingby stadsdelsområde, Stockholms kommun, Stockholms län, 162 61, Sverige",,,,
Årsta torg 5,,Bibliotek,Årsta bibliotek,Årsta torg 5,59.297274,18.0516471,ok,"5, Årsta Torg, Östberga, Årsta, Enskede-Årsta-Vantörs stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 120 54, Sverige",,,,
Älvsjö stationsgata 21,,Bibliotek,Älvsjö bibliotek,"Älvsjö stationsgata 21, Stockholm",59.2782333,18.00808,ok,"Älvsjö Stationsgata, Älvsjö, Hägersten-Älvsjö stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 125 31, Sverige",,,,
Gamla Huddingevägen 425,,Bibliotek,Örby bibliotek,Gamla Huddingevägen 425,59.2748688,18.0265722,ok,"425, Gamla Huddingevägen, Älvsjö, Enskede-Årsta-Vantörs stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 125 42, Sverige",,,,
Östbergatorget 14,,Bibliotek,Östberga bibliotek,"Östbergatorget 14, Stockholm",59.2889218,18.0332425,ok,"Östberga Kulturhus, 14, Östbergatorget, Östberga, Älvsjö, Enskede-Årsta-Vantörs stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 125 72, Sverige",,,,
Valhallavägen 146,,Bibliotek,Östermalms bibliotek,"Valhallavägen 146, Stockholm",59.3401054,18.0919707,ok,"146, Valhallavägen, Villastaden, Östermalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 24, Sverige",,,,
Bryggargatan 12A,,Bibliotek,,"Bryggargatan 12A, Stockholm",59.3329273,18.0587865,ok,"Goethe Institut, 12a, Bryggargatan, Klara, Norrmalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 111 21, Sverige",,,,
Drottninggatan 95B,,Bibliotek,,"Drottninggatan 95B, Stockholm",59.3403745,18.0545068,ok,"95B, Drottninggatan, Sibirien, Vasastaden, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 60, Sverige",,,,
Gustavslundsvägen 170,,Bibliotek,,"Gustavslundsvägen 170, Stockholm",59.3287786,17.985281,ok,"Gustavslundsvägen, Alviks Strand, Alvik, Bromma stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 167 40, Sverige",,,,
Herbert Widmans väg 5A,,Bibliotek,,"Herbert Widmans väg 5A, Stockholm",59.250138,18.1195031,ok,"Herbert Widmans Väg, Sköndal, Farsta stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 128 68, Sverige",,,,
Snickarbacken 2,,Bibliotek,,"Snickarbacken 2, Stockholm",59.3380666,18.0683159,ok,"2, Snickarbacken, Norrmalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 114 27, Sverige",,,,
Stigbergsgatan 30A,,Bibliotek,,"Stigbergsgatan 30A, Stockholm",59.3166882,18.0882469,ok,"Stigbergsgatan, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 116 45, Sverige",,,,
Sveavägen 65,,Bibliotek,,"Sveavägen 65, Stockholm",59.3416984,18.0572597,ok,"65, Sveavägen, Sibirien, Vasastaden, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 113 59, Sverige",,,,
Tegelviksgatan 40,,Bibliotek,,"Tegelviksgatan 40, Stockholm",59.3093862,18.0968174,ok,"40, Tegelviksgatan, Danvikstull, Södermalm, Södermalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 116 47, Sverige",,,,
Valhallavägen 91,,Bibliotek,,"Valhallavägen 91, Stockholm",59.3456217,18.0755612,ok,"91, Valhallavägen, Ruddammen, Norra Djurgården, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 115 28, Sverige",,,,
Wahrendorffsgatan 3B,,Bibliotek,,"Wahrendorffsgatan 3B, Stockholm",59.3318894,18.0742245,ok,"3B, Wahrendorffsgatan, Klara, Norrmalm, Norra innerstadens stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, 103 27, Sverige",,,,
