source_file,row,name,city,category,website,lat_field,lon_field,pair_example,delete,reason
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1166,U.D. Urban Design AB,Stockholm,architectural_designer,http://www.urbandesign.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1167,Under Bron,Stockholm,dance_club,http://underbron.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1168,Ung Teaterscen,Stockholm,theatre,http://www.ungteaterscen.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1169,Unga Klara,Stockholm,theatre,http://www.ungaklara.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1170,Ungdomens Hus - Skärholmen,Stockholm,community_services_non_profits,http://www.skarholmen.fryshuset.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1171,UNGiKÖR: Sveriges barn- och ungdomskörer,Stockholm,community_services_non_profits,https://www.ungikor.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1172,Unidos do Samba,Stockholm,community_services_non_profits,http://www.unidosdosamba.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1173,Unna Design,Stockholm,architectural_designer,http://unna.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1174,Urban Artists Sthlm,Stockholm,arts_and_entertainment,https://urbanartists.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1175,Urban Minds,Stockholm,architectural_designer,http://www.urbanminds.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1176,Urkraft,Stockholm,dance_school,http://www.urkraft.nu/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1177,UusiTeatteri,Stockholm,theatre,http://www.uusiteatteri.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1178,Vadstena-Akademien,Stockholm,theatre,http://www.vadstena-akademien.org/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1179,Vantörs Konstförening,Stockholm,art_gallery,https://www.vantorskonstforening.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1180,Vardag arkitekter,Stockholm,architectural_designer,http://www.vardag.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1181,Varg Arkitekter,Stockholm,architectural_designer,http://www.vargarkitekter.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1182,Vasa Museeum (Vasamuseet),Stockholm,history_museum,http://www.vasamuseet.se/InEnglish/about.aspx/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1183,Vasamuseet,Stockholm,art_museum,https://www.vasamuseet.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1184,Vasastans Körakademi,Stockholm,music_school,http://www.vasastanskorakademi.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1185,Vasaträffen Fritidscenter,Stockholm,arts_and_entertainment,https://senior.stockholm/hitta-traffpunkt-och-motesplats-for-seniorer/traffpunkt-och-motesplats/vasatraffen,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1186,Vattumannen,Stockholm,bookstore,https://www.vattumannen.se/?utm_source=facebook,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1187,Verket,Stockholm,art_gallery,http://verket.org/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1188,Victoria Hall,Stockholm,auditorium,https://Ingen webbplats,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1189,Vida Arkitektkontor,Stockholm,architectural_designer,http://www.vidastockholm.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1190,Virtuoso Musikskola,Stockholm,music_school,https://Ingen webbplats,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1191,Vitterhetsakademiens Bibliotek,Stockholm,library,http://www.vitterhetsakad.se,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1192,Vocal Colors,Stockholm,choir,https://kulturfyren.se/musik/vocal-colors/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1193,Vocal Devotion,Stockholm,music_school,http://www.vocaldevotion.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1194,Vocalcoach-Stockholm Cecilia R Ray,Stockholm,music_school,https://www.vocalcoach.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1195,Vocalux Röststudio,Stockholm,music_school,http://www.vocalux.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1196,Voice Centre,Stockholm,music_school,https://www.voicecentre.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1197,Vrak – Museum of Wrecks,Stockholm,museum,https://www.vrak.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1198,VREX Stockholm,Stockholm,arcade,http://www.VREX.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1199,Vår Teater Högdalen,Stockholm,theatre,https://Ingen webbplats,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1200,Våra Gårdar,Stockholm,cinema,http://www.varagardar.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1201,Vällingby bibliotek,Stockholm,library,https://biblioteket.stockholm.se/bibliotek/vallingby-bibliotek,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1202,Vällingby Folkets hus,Stockholm,community_services_non_profits,https://fhvallingby.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1203,Vällingby Kulturhuset Stadsteatern,Stockholm,theatre,http://kulturhusetstadsteatern.se/Vallingby/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1204,Världsbiblioteket,Stockholm,library,http://www.solidaritetshuset.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1205,Västerbokhandeln AB,Stockholm,bookstore,http://allbok.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1206,Västerortsaktivitetscenter,Stockholm,community_services_non_profits,https://Ingen webbplats,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1207,Västertorps Marknad,Stockholm,arts_and_entertainment,https://www.facebook.com/vastertorpcentrum/?locale=sv_SE,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1208,Waldemarson Berglund Arkitekter,Stockholm,architectural_designer,http://www.waldemarson.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1209,Wanna Dance,Stockholm,dance_school,http://wannadance.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1210,Wasa Museet,Stockholm,museum,https://www.vasamuseet.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1211,Watz Studio Stockholm,Stockholm,art_gallery,http://www.watzstudio.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1212,West End Stockholm,Stockholm,theatre,http://www.westendstockholm.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1213,Wester + Elsner Arkitekter,Stockholm,architectural_designer,http://www.wester-elsner.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1214,Wetterling Gallery,Stockholm,art_gallery,http://www.wetterlinggallery.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1215,White Arkitekter,Stockholm,architectural_designer,http://www.white.se,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1216,Wi landskap,Stockholm,landscaping,http://www.wilandskap.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1217,WIFT Sverige,Stockholm,community_services_non_profits,http://www.wift.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1218,Wild Boys Studio,Stockholm,music_venue,https://Ingen webbplats,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1219,WILLAS contemporary,Stockholm,art_gallery,http://willas.com/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1220,"Wilund Arkitekter och Antikvarier,",Stockholm,architect,http://www.wa2.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1221,Winroth Arkitekter AB,Stockholm,architectural_designer,http://www.winrotharkitekter.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1222,Wip:sthlm,Stockholm,arts_and_entertainment,http://www.wipsthlm.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1223,Witte Sundell,Stockholm,architectural_designer,https://www.wittesundell.se/,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1224,Wollbeck Produktion,Stockholm,theatre,https://Ingen webbplats,,,,,praesidia != 1
startup-stockholm-2025-10-13_17-23.xlsx - export.csv,1225,Young Art,Stockholm,art_gallery,http://www.youngart.se/,,,,,praesidia != 1
