name,website,praesidia,category,lat,lon,city
Stockholms Barndansskola,https://www.barndansskola.se,,dance_school,"59,3158026","18,0097207",Stockholm
Stockholms Enskilda Bokhandel,https://Ingen webbplats,,bookstore,"59,3327053","18,0694745",Stockholm
Stockholms friluftsteater,https://www.friluftsteaterstockholm.se/,,theatrical_productions,"59,23933","18,0831",Stockholm
Stockholms Gitarrakademi,http://www.stockholmsgitarrakademi.se/,,music_school,"59,3360106","18,0841903",Stockholm
Stockholms Glasbruk,http://stockholmsglasbruk.com/,,arts_and_entertainment,"59,3253446","18,1001664",Stockholm
Stockholms Improvisationsteater,http://www.impro.se/,,theatre,"59,3418324","18,041429",Stockholm
Stockholms läns hembygdsförbund,http://www.hembygd.se/stockholm,,community_services_non_profits,"59,33783","18,0427",Stockholm
Stockholms Läns Hemslöjdsfören,http://www.hemslojden.org/stockholm,,community_services_non_profits,"59,3477996","18,048067",Stockholm
Stockholms läns hemslöjdsförening,http://hemslojden.org/stockholm/,,community_services_non_profits,"59,3318099","18,0171729",Stockholm
Stockholms manskör,http://stockholmsmanskor.se/,,choir,"59,328575","18,050265",Stockholm
Stockholms Science Fiction-antikvariat,http://sfantikvariatet.se/,,bookstore,"59,3069204","18,0782075",Stockholm
Stockholms Serie & Skivhandel,http://stockholmsserieoskivhandel.se/,,music_and_dvd_store,"59,3429613","18,0566896",Stockholm
Stockholms Skivbörs,http://www.nostalgipalatset.com/,,music_and_dvd_store,"59,3414845","18,0495814",Stockholm
Stockholms Snickarmastarfor,http://www.snickarmastarna.se,,landscaping,"59,325264","18,074678",Stockholm
Stockholms stadsarkiv,https://stadsarkivet.stockholm/,,museum,"59,33","18,0494444",Stockholm
Stockholms Stadsbibliotek,http://www.ssb.stockholm.se,,library,"59,3434059","18,0550403",Stockholm
Stockholms stadsmuseum,https://stadsmuseet.stockholm/,,museum,"59,3186931","18,0802346",Stockholm
Stockholms Stadsteater,http://www.stadsteatern.stockholm.se,,theatre,"59,331811","18,064209",Stockholm
Stockholms Ånglokssällskap,https://anglok.com/,,museum,"59,29862","18,015866",Stockholm
Stora Essingens Bibliotek,https://biblioteket.stockholm.se/bibliotek/stora-essingens-bibliotek,,library,"59,3206116","17,9860795",Stockholm
Stora Musikhuset (Skarpnäck),https://www.storamusikhuset.se/,,recording_and_rehearsal_studio,"59,26510254","18,12558708",Stockholm
Stora Musikhuset (Årsta),https://www.storamusikhuset.se/,,recording_and_rehearsal_studio,"59,29644097","18,03179645",Stockholm
Stora Scenen Kungsträdgården,http://www.kungstradgarden.se/web/Evenemang.aspx,,music_venue,"59,3313253","18,0715843",Stockholm
Story,http://www.story.se,,media_agency,"59,3143507","18,0799798",Stockholm
Storyside,http://www.storyside.se,,cinema,"59,3390472","18,0677556",Stockholm
Strata Arkitektur,http://www.outerspacearkitekter.se/,,architectural_designer,"59,3175054","18,0342944",Stockholm
Strategisk Arkitektur,http://www.strategiskarkitektur.se,,architectural_designer,"59,3304983","18,0646812",Stockholm
Strindbergs Intima Teater,http://www.strindbergsintimateater.se/,,theatre,"59,335523","18,0536613",Stockholm
Strindbergsmuseet,http://www.strindbergsmuseet.se/,,museum,"59,338406","18,05617",Stockholm
