name,category,website,delete,comments,city,lat,lon
FETA,theatre,http://www.feta.pl/,,"performance art festival, use different location in public space ",Gdańsk,"54,35","18,6667"
Filia Gdańska Wojewódzkiej i Miejskiej Biblioteki Publicznej w Gdańsku,library,http://www.wbpg.org.pl/,,,Gdańsk,"54,34973","18,65513"
Filia Naukowa,library,http://www.wbpg.org.pl/filia_naukowa,,,Gdańsk,"54,4090973","18,5982994"
Fort Góry Gradowej,history_museum,Ingen webbplats,,,Gdańsk,"54,355826","18,6385717"
Foto Fokus,photography_store_and_services,http://sklep.fokus.com.pl/,,furniture design and shop,Gdańsk,"54,3488734","18,6550983"
Foto Kadr,graphic_designer,http://www.fotokadr.pl/,,,Gdańsk,"54,4022287","18,5797679"
Fotopunkt,photography_store_and_services,http://www.fotopunkt.com.pl/,,,Gdańsk,"54,3749599","18,6142404"
G58,movie_television_studio,http://g58.pl/#contact,,,Gdańsk,"54,37606","18,6095"
GAB Media,mass_media,http://www.gabmedia.pl/,,,Gdańsk,"54,3680935","18,6274202"
Galeria Domowa,museum,http://galeriadomowa-darobike.shoparena.pl/,,,Gdańsk,"54,4345694","18,4672061"
Galeria Site Specific Klub Morza Zejman,museum,http://galeriasitespecific.blogspot.com/,,,Gdańsk,"54,348343","18,657947"
Galeria Starych Zabawek,history_museum,http://www.stare-zabawki.pl/,,,Gdańsk,"54,3499011","18,6513933"
Gama,music_and_dvd_store,http://www.gama.gda.pl,,,Gdańsk,"54,3553711","18,6478606"
Gardenplan,landscaping,http://www.gardenplan.pl,,,Gdańsk,"54,3270805","18,5939929"
Gazeta GUMed,print_media,http://gazeta.gumed.edu.pl/,,,Gdańsk,"54,3637268","18,6279684"
Gdansk Katownia,museum,http://www.mhmg.pl/oddzial/8/muzeum-bursztynu,,,Gdańsk,"54,3499","18,647031"
Gdansk Orunia,dance_club,Ingen webbplats,2,unclear ,Gdańsk,"54,3294637","18,6272217"
Gdańsk Shakespeare Theater,theatre,http://www.teatrszekspirowski.pl/,,,Gdańsk,"54,3479406","18,6480298"
Gdańsk Stocznia,dance_club,Ingen webbplats,2,airport terminal,Gdańsk,"54,3821071","18,4666231"
Gdańska Fundacja Kształcenia Menedżerów,newspaper_and_magazines_store,https://gfkm.pl/,,,Gdańsk,"54,40268833","18,57178697"
Gdańska Prywatna Szkoła Umuzykalniająca ROMA,music_school,http://www.gssmiu.nazwa.pl/1,,,Gdańsk,"54,3577828","18,5907022"
Gdańska Społeczna Szkoła Muzyczna,music_school,http://www.facebook.com/muzycznaMorena,,,Gdańsk,"54,3578246","18,5906814"
Gdański Teatr Szekspirowski,theatre,http://www.festiwalszekspirowski.pl/,,Shakespeare theatre festival,Gdańsk,"54,3480194","18,6477877"
Gdańskie Targi Książki,print_media,http://www.gdanskietargiksiazki.pl/,,book fairs ,Gdańsk,"54,359923","18,649148"
Gedania - STOP bezprawiu na historycznych terenach,history_museum,Ingen webbplats,2,old tram line,Gdańsk,"54,3878","18,61312"
Ggog,music_venue,Ingen webbplats,2,post office,Gdańsk,"54,3656603","18,6346748"
GoHome Studio nagrań,music_production,Ingen webbplats,,,Gdańsk,"54,3758891","18,6352219"
Gorzko Gorzko Gdańsk,dance_club,http://gorzko-gorzko.pl/,,,Gdańsk,"54,3539337","18,6482032"
GospodarkaMorska.pl,mass_media,https://kongrespolskieporty2030.gospodarkamorska.pl/,2,maritime congress ,Gdańsk,"54,35739","18,64749"
Grabowa 19,fashion,Ingen webbplats,,music school ,Gdańsk,"54,37487","18,60447"
Grajnaperkusji,music_school,Ingen webbplats,2,unclear ,Gdańsk,"54,3836579","18,6321756"
Grey Gdańsk,dance_club,https://greygdansk.pl/,,,Gdańsk,"54,3584209","18,6468056"
Grustudios,music_production,https://grustudios.wordpress.com/realizacje/,,,Gdańsk,"54,419584","18,4762593"
Haftowane Skarby,screen_printing_t_shirt_printing,https://haftowaneskarby.pl/,,embroidery services ,Gdańsk,"54,4276224","18,4912285"
HAH Gdańsk,dance_club,Ingen webbplats,,,Gdańsk,"54,3643147","18,6444896"
Havana in Gdańsk,dance_club,Ingen webbplats,,,Gdańsk,"54,3501865","18,655067"
Hevelianum,museum,http://hevelianum.pl/,,science and technology museum,Gdańsk,"54,3565653","18,6390549"
Home Stage Music Studio,music_school,https://homestagemusic.pl/,,,Gdańsk,"54,3951892","18,6390737"
I&O Audio,music_production,https://www.ioaudio.pl/,,,Gdańsk,"54,4049429","18,6079169"
Impresariat 34art.pl,theatre,https://34art.pl/,,artistic impresario agency ,Gdańsk,"54,3782043","18,588728"
Infinium,dance_club,http://www.infinium.pl,,,Gdańsk,"54,3790267","18,6165451"
Infinium. Klub studencki,dance_club,http://www.infinium.pl/,,,Gdańsk,"54,379369","18,6161618"
Inmedio Trendy,fashion,Ingen webbplats,2,small shopping mall,Gdańsk,"54,3911966","18,6096435"
Intensywne Kursy Szycia IKS,fashion,http://www.emwudesign.com/,,,Gdańsk,"54,34177","18,62126"
Intro,dance_club,http://www.klubintro.eu,,,Gdańsk,"54,3522144","18,6560711"
Jazz nad Motławą,jazz_and_blues,http://www.miastoaniolow.com.pl/,,,Gdańsk,"54,3474514","18,6565609"
K16,graphic_designer,http://k16.com.pl/,,,Gdańsk,"54,4097757","18,569725"
Kabaret Ewan,dance_club,http://www.kabaretewan.pl/,,cabaret,Gdańsk,"54,3504198","18,6494649"
Kino Helios,fair,"https://www.helios.pl/58,Gdansk/StronaGlowna/",,cienma,Gdańsk,"54,3495189","18,6441375"
Klub Kosmos Gdańsk | Gdansk,dance_club,http://www.mkbowling.pl/kosmos-gdansk,,,Gdańsk,"54,3773441","18,6077487"
Klub Metro,dance_club,http://www.metrocatering.pl,,,Gdańsk,"54,3770463","18,614799"
Klub Muzyczny Dobry Wieczór,music_venue,Ingen webbplats,,,Gdańsk,"54,3808332","18,5961486"
Klub Muzyczny Parlament,dance_club,http://www.parlament.com.pl/,,and music club,Gdańsk,"54,3511567","18,6497895"
Klub Posesja,dance_club,Ingen webbplats,,,Gdańsk,"54,3947871","18,6726513"
Klub Żak,theatre,http://www.klubzak.com.pl/,,,Gdańsk,"54,3871485","18,5921951"
Komis sukien ślubnych „Eleonora”,fashion,https://docs.google.com/forms/d/e/1FAIpQLScC5NUvOqmr1qyc9Fcrspq8w1UV3lQgi_792TR6pP0T56k9qw/viewform,,,Gdańsk,"54,36262","18,59241"
Kosmiczna Baza - Mobilne Centrum Nauki,science_museum,https://www.kosmicznabaza.pl/,,mobile (in a truck) science and technology exhibition ,Gdańsk,"54,3560347","18,6392814"
Kostka Studio,music_school,Ingen webbplats,2,flower shop,Gdańsk,"54,3367735","18,596595"
"KOZAK.pl - sklep komputerowy, drukarki, tusze, tonery",vinyl_record_store,https://www.kozak.pl/,,,Gdańsk,"54,3491975","18,5911114"
Kronika Studencka,mass_media,http://www.ks.pg.gda.pl/,,,Gdańsk,"54,3708006","18,6149456"
Kwadratowa,dance_club,http://www.kwadratowa.pl/,,,Gdańsk,"54,3707857","18,6154507"
Lira,music_school,http://www.naprawa-gitar.er.pl,,,Gdańsk,"54,4119778","18,5726648"
Lud Hauza Music Producers,music_production,http://www.ludhauza.bandcamp.com/,,,Gdańsk,"54,43364","18,46599"
LUDO Gdańsk,dance_club,http://ludo.com.pl/,,,Gdańsk,"54,4014901","18,5725806"
Luminaris Dom Produkcyjny,movie_television_studio,http://www.luminaris.pl/,,,Gdańsk,"54,3839796","18,6111771"
