name,category,website,delete,comments,city,lat,lon
TNS-Théâtre National de Strasbourg,theatre,http://www.tns.fr/,,,Eurometropole Strasbourg,"48,5862833","7,7551805"
Apec 1er Job,community_services_non_profits,https://centre.apec.fr/26-apec-strasbourg,2,,Eurometropole Strasbourg,"48,5872877","7,7392034"
Apeeimc,community_services_non_profits,http://www.apeeimc.com,2,,Eurometropole Strasbourg,"48,537179","7,732289"
APEIR,community_services_non_profits,https://www.helloasso.com/associations/apeir-robertsau,2,,Eurometropole Strasbourg,"48,60947","7,78416"
APEL Institution Notre Dame 67,community_services_non_profits,Ingen webbplats,2,,Eurometropole Strasbourg,"48,58792","7,74343"
Apieda - Association Pour l'Intégration Des Enfants Déficients Auditifs,community_services_non_profits,http://apieda.fr/,2,,Eurometropole Strasbourg,"48,5275552","7,7097116"
APMSA Grand Est,community_services_non_profits,https://www.apmsagrandest.fr/,2,,Eurometropole Strasbourg,"48,5760467","7,710837"
Actuelles TAPS,theaters_and_performance_venues,http://www.taps.strasbourg.eu/,,,Eurometropole Strasbourg,"48,5764004","7,7294439"
aPoGée Culture,community_services_non_profits,https://www.helloasso.com/associations/apogee-culture,2,,Eurometropole Strasbourg,"48,5777676","7,7477673"
Espace K,theaters_and_performance_venues,https://www.vostickets.fr/Billet?ID=ESPACE_K,,,Eurometropole Strasbourg,"48,5763977","7,728886"
Le Sapin vert,theaters_and_performance_venues,https://www.sapinvert.bischheim.alsace/,,,Eurometropole Strasbourg,"48,6141762","7,7509358"
Lolita Théâtre d'Improvisation Strasbourg,theaters_and_performance_venues,https://linktr.ee/lolita.impro,,,Eurometropole Strasbourg,"48,5890559","7,7482595"
ARASC Aides à Domicile,community_services_non_profits,http://www.arasc.fr/,2,,Eurometropole Strasbourg,"48,5757625","7,7314332"
ARCHI +,architectural_designer,http://www.archiplus.pro/,2,,Eurometropole Strasbourg,"48,5644121","7,7606884"
Architectes et Partenaires,architectural_designer,http://www.archipart.fr/,2,,Eurometropole Strasbourg,"48,582014","7,6892875"
Maillon Théâtre de Strasbourg,theaters_and_performance_venues,http://www.maillon.eu/,,,Eurometropole Strasbourg,"48,5992272","7,7622319"
Arisal,community_services_non_profits,http://www.arisal.org/,2,,Eurometropole Strasbourg,"48,5832277","7,7759144"
TAPS Théâtre Actuel et Public de Strasbourg,theaters_and_performance_venues,http://www.taps.strasbourg.eu/,,,Eurometropole Strasbourg,"48,5655543","7,7592961"
Armurerie Recht,arts_and_entertainment,https://www.recht.fr/,2,,Eurometropole Strasbourg,"48,58537","7,79188"
Aroeven Strasbourg - Grand Est,community_services_non_profits,https://www.aroeven-strasbourg.fr/,2,,Eurometropole Strasbourg,"48,5717862","7,7129812"
Théâtre Alsacien de Schiltigheim,theaters_and_performance_venues,https://www.webatas.fr/,,,Eurometropole Strasbourg,"48,6075141","7,7456259"
Art et Portails Strasbourg,landscaping,https://art-et-portails-strasbourg.fr/,2,,Eurometropole Strasbourg,"48,5253697","7,6826418"
Théâtre Alsacien Strasbourg,theaters_and_performance_venues,https://www.theatre-alsacien-strasbourg.fr/,,,Eurometropole Strasbourg,"48,585918","7,7518004"
